timestamp,pretrained_model_path,spange_path,nn_size,dropout_fp,dropout_nn,epochs,hidden_factor,val_percent,avg_mse,mse_per_solvent
20250812_174450,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,16,0.1,0.1,20,4,0.2,0.0095104277409421,"{""1,1,1,3,3,3-Hexafluoropropan-2-ol"": 0.03065471429600789, ""2,2,2-Trifluoroethanol"": 0.023831806163485878, ""2-Methyltetrahydrofuran [2-MeTHF]"": 0.009540018215343777, ""Acetonitrile"": 0.010810602741026333, ""Acetonitrile.Acetic Acid"": 0.021870804633922502, ""Butanone [MEK]"": 0.0012728600073447667, ""Cyclohexane"": 0.00890902866512173, ""DMA [N,N-Dimethylacetamide]"": 0.0057743855090543715, ""Decanol"": 0.016069595443146057, ""Diethyl Ether [Ether]"": 0.00866283929050659, ""Dihydrolevoglucosenone (Cyrene)"": 0.023212844027160895, ""Dimethyl Carbonate"": 0.006527230127284929, ""Ethanol"": 0.007539315051158607, ""Ethyl Acetate"": 0.000702553547814127, ""Ethyl Lactate"": 0.0024794935883656996, ""Ethylene Glycol [1,2-Ethanediol]"": 0.006394800972946419, ""IPA [Propan-2-ol]"": 0.009268709652163433, ""MTBE [tert-Butylmethylether]"": 0.00250058615405749, ""Methanol"": 0.007295664533613355, ""Methyl Propionate"": 0.0033418113883275868, ""THF [Tetrahydrofuran]"": 0.004233761993596757, ""Water.2,2,2-Trifluoroethanol"": 0.005431627806598234, ""Water.Acetonitrile"": 0.00795208676631575, ""tert-Butanol [2-Methylpropan-2-ol]"": 0.003973125208248118}"
20250812_174729,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,16,0.1,0.1,20,3,0.1,0.0115523762905812,"{""1,1,1,3,3,3-Hexafluoropropan-2-ol"": 0.04897726226914859, ""2,2,2-Trifluoroethanol"": 0.0259981336290782, ""2-Methyltetrahydrofuran [2-MeTHF]"": 0.012241174066220602, ""Acetonitrile"": 0.00982103252858639, ""Acetonitrile.Acetic Acid"": 0.021564816788565977, ""Butanone [MEK]"": 0.0019374457225535423, ""Cyclohexane"": 0.008675103081223655, ""DMA [N,N-Dimethylacetamide]"": 0.005125658516037904, ""Decanol"": 0.011240290730906821, ""Diethyl Ether [Ether]"": 0.006268137356539967, ""Dihydrolevoglucosenone (Cyrene)"": 0.03163849896645418, ""Dimethyl Carbonate"": 0.009655185385493351, ""Ethanol"": 0.007010458388562904, ""Ethyl Acetate"": 0.0004166317962063859, ""Ethyl Lactate"": 0.003811764240274702, ""Ethylene Glycol [1,2-Ethanediol]"": 0.009520817282939966, ""IPA [Propan-2-ol]"": 0.015701827376301034, ""MTBE [tert-Butylmethylether]"": 0.006638572698672903, ""Methanol"": 0.0075775226788487296, ""Methyl Propionate"": 0.003375335978394089, ""THF [Tetrahydrofuran]"": 0.005343564363684508, ""Water.2,2,2-Trifluoroethanol"": 0.0062589233386609175, ""Water.Acetonitrile"": 0.006930421581839955, ""tert-Butanol [2-Methylpropan-2-ol]"": 0.011528452208753627}"
20250812_174935,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,16,0.1,0.1,20,3,0.2,0.0089249353700122,"{""1,1,1,3,3,3-Hexafluoropropan-2-ol"": 0.049227356160880406, ""2,2,2-Trifluoroethanol"": 0.025935215355587418, ""2-Methyltetrahydrofuran [2-MeTHF]"": 0.008283451579514404, ""Acetonitrile"": 0.009116614111092254, ""Acetonitrile.Acetic Acid"": 0.01935558123480006, ""Butanone [MEK]"": 0.00357586670946403, ""Cyclohexane"": 0.007539643661163647, ""DMA [N,N-Dimethylacetamide]"": 0.0057947748166949425, ""Decanol"": 0.013463360433962476, ""Diethyl Ether [Ether]"": 0.0066820794937106735, ""Dihydrolevoglucosenone (Cyrene)"": 0.007261461970666566, ""Dimethyl Carbonate"": 0.003728090482994271, ""Ethanol"": 0.005598429390443878, ""Ethyl Acetate"": 0.0018104565916543525, ""Ethyl Lactate"": 0.003014097114063828, ""Ethylene Glycol [1,2-Ethanediol]"": 0.003505310114450454, ""IPA [Propan-2-ol]"": 0.010668659417422488, ""MTBE [tert-Butylmethylether]"": 0.004293513028839561, ""Methanol"": 0.007848698117205339, ""Methyl Propionate"": 0.0025251763237182246, ""THF [Tetrahydrofuran]"": 0.0026026077944711393, ""Water.2,2,2-Trifluoroethanol"": 0.003221380795188897, ""Water.Acetonitrile"": 0.004903601327109742, ""tert-Butanol [2-Methylpropan-2-ol]"": 0.004243022855195638}"
20250812_175831,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,16,0.1,0.1,20,2,0.3,0.0124140522266337,"{""1,1,1,3,3,3-Hexafluoropropan-2-ol"": 0.04606072691841231, ""2,2,2-Trifluoroethanol"": 0.03714675267250138, ""2-Methyltetrahydrofuran [2-MeTHF]"": 0.01062609604670631, ""Acetonitrile"": 0.01746537145022684, ""Acetonitrile.Acetic Acid"": 0.02320188565141063, ""Butanone [MEK]"": 0.001792567555621371, ""Cyclohexane"": 0.003742993460859939, ""DMA [N,N-Dimethylacetamide]"": 0.006767032911496315, ""Decanol"": 0.015165413574427328, ""Diethyl Ether [Ether]"": 0.0071787225492296125, ""Dihydrolevoglucosenone (Cyrene)"": 0.034993503206143424, ""Dimethyl Carbonate"": 0.00848134556145669, ""Ethanol"": 0.005449214316950969, ""Ethyl Acetate"": 0.001016432038333068, ""Ethyl Lactate"": 0.00433377712174733, ""Ethylene Glycol [1,2-Ethanediol]"": 0.01029426712432779, ""IPA [Propan-2-ol]"": 0.014791113031125494, ""MTBE [tert-Butylmethylether]"": 0.0035505792274096604, ""Methanol"": 0.009535095245905413, ""Methyl Propionate"": 0.0043645084020136615, ""THF [Tetrahydrofuran]"": 0.0035734106625097874, ""Water.2,2,2-Trifluoroethanol"": 0.007574012870786773, ""Water.Acetonitrile"": 0.011111243842812835, ""tert-Butanol [2-Methylpropan-2-ol]"": 0.009721187996795562}"
20250812_175950,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.1,0.1,20,2,0.3,0.0094138730844949,"{""1,1,1,3,3,3-Hexafluoropropan-2-ol"": 0.04996617623096157, ""2,2,2-Trifluoroethanol"": 0.022705047512852537, ""2-Methyltetrahydrofuran [2-MeTHF]"": 0.007308883217333727, ""Acetonitrile"": 0.006552011903340687, ""Acetonitrile.Acetic Acid"": 0.021015259530541695, ""Butanone [MEK]"": 0.0060350718385919835, ""Cyclohexane"": 0.008220630690903827, ""DMA [N,N-Dimethylacetamide]"": 0.004486117542061432, ""Decanol"": 0.015108475091892353, ""Diethyl Ether [Ether]"": 0.009385943869895655, ""Dihydrolevoglucosenone (Cyrene)"": 0.008435930984712823, ""Dimethyl Carbonate"": 0.003851334349671693, ""Ethanol"": 0.007243487386654068, ""Ethyl Acetate"": 0.0020259738323208506, ""Ethyl Lactate"": 0.002163435330882022, ""Ethylene Glycol [1,2-Ethanediol]"": 0.006996971975589607, ""IPA [Propan-2-ol]"": 0.012831888937979609, ""MTBE [tert-Butylmethylether]"": 0.0020034490672726224, ""Methanol"": 0.00716726422746532, ""Methyl Propionate"": 0.005124650338856399, ""THF [Tetrahydrofuran]"": 0.004145638054191567, ""Water.2,2,2-Trifluoroethanol"": 0.003578160654627957, ""Water.Acetonitrile"": 0.007250559013780796, ""tert-Butanol [2-Methylpropan-2-ol]"": 0.002330592445498688}"
20250812_180019,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,16,0.1,0.1,20,3,0.3,0.0092137080224552,"{""1,1,1,3,3,3-Hexafluoropropan-2-ol"": 0.03236435143665691, ""2,2,2-Trifluoroethanol"": 0.017928649260882872, ""2-Methyltetrahydrofuran [2-MeTHF]"": 0.006317093062598992, ""Acetonitrile"": 0.008054152535565231, ""Acetonitrile.Acetic Acid"": 0.023123256065858702, ""Butanone [MEK]"": 0.002209017339000959, ""Cyclohexane"": 0.0017386930908637936, ""DMA [N,N-Dimethylacetamide]"": 0.0054031903068299135, ""Decanol"": 0.014311594387013684, ""Diethyl Ether [Ether]"": 0.006794102307395427, ""Dihydrolevoglucosenone (Cyrene)"": 0.019192282863299378, ""Dimethyl Carbonate"": 0.007283221289049495, ""Ethanol"": 0.007807960538641587, ""Ethyl Acetate"": 0.0008519985034834649, ""Ethyl Lactate"": 0.003063868456241924, ""Ethylene Glycol [1,2-Ethanediol]"": 0.01111697392474176, ""IPA [Propan-2-ol]"": 0.014523121153368125, ""MTBE [tert-Butylmethylether]"": 0.0023500871625742343, ""Methanol"": 0.008016322467129947, ""Methyl Propionate"": 0.0025162239980938165, ""THF [Tetrahydrofuran]"": 0.003586253853230167, ""Water.2,2,2-Trifluoroethanol"": 0.006233878848084943, ""Water.Acetonitrile"": 0.008376627690155543, ""tert-Butanol [2-Methylpropan-2-ol]"": 0.007966071998164789}"
20250812_180054,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,16,0.1,0.1,20,4,0.1,0.0079653611414576,"{""1,1,1,3,3,3-Hexafluoropropan-2-ol"": 0.02894882663869493, ""2,2,2-Trifluoroethanol"": 0.022028281601299805, ""2-Methyltetrahydrofuran [2-MeTHF]"": 0.005465041084447251, ""Acetonitrile"": 0.01020386573188231, ""Acetonitrile.Acetic Acid"": 0.021995894352458762, ""Butanone [MEK]"": 0.0018673187635090817, ""Cyclohexane"": 0.005878459921582088, ""DMA [N,N-Dimethylacetamide]"": 0.00410979041936139, ""Decanol"": 0.010668732305096745, ""Diethyl Ether [Ether]"": 0.008371498093769606, ""Dihydrolevoglucosenone (Cyrene)"": 0.00937057235821959, ""Dimethyl Carbonate"": 0.006453992353135317, ""Ethanol"": 0.005458717264320216, ""Ethyl Acetate"": 0.0007213200491061186, ""Ethyl Lactate"": 0.0027001593433773527, ""Ethylene Glycol [1,2-Ethanediol]"": 0.004568370617273752, ""IPA [Propan-2-ol]"": 0.011066068087149356, ""MTBE [tert-Butylmethylether]"": 0.004989095628963508, ""Methanol"": 0.005833376989313272, ""Methyl Propionate"": 0.0017977234055176503, ""THF [Tetrahydrofuran]"": 0.003975408427625319, ""Water.2,2,2-Trifluoroethanol"": 0.003860684710288951, ""Water.Acetonitrile"": 0.006391938823911887, ""tert-Butanol [2-Methylpropan-2-ol]"": 0.0044435304246802235}"
20250812_180112,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.1,0.1,20,2,0.2,0.0083731231986959,"{""1,1,1,3,3,3-Hexafluoropropan-2-ol"": 0.03130595920358794, ""2,2,2-Trifluoroethanol"": 0.018255853240309556, ""2-Methyltetrahydrofuran [2-MeTHF]"": 0.005981928487240347, ""Acetonitrile"": 0.007222735046443888, ""Acetonitrile.Acetic Acid"": 0.020519909548957868, ""Butanone [MEK]"": 0.00315449053737397, ""Cyclohexane"": 0.008973257741519398, ""DMA [N,N-Dimethylacetamide]"": 0.004063100976421485, ""Decanol"": 0.01028380793694907, ""Diethyl Ether [Ether]"": 0.0068750053152112165, ""Dihydrolevoglucosenone (Cyrene)"": 0.021118913218715726, ""Dimethyl Carbonate"": 0.004588505128664413, ""Ethanol"": 0.006618183414547442, ""Ethyl Acetate"": 0.0014548058134624957, ""Ethyl Lactate"": 0.0020793961863073388, ""Ethylene Glycol [1,2-Ethanediol]"": 0.004812648756041275, ""IPA [Propan-2-ol]"": 0.011391383982859446, ""MTBE [tert-Butylmethylether]"": 0.001486467200022671, ""Methanol"": 0.008087596329120397, ""Methyl Propionate"": 0.005806274269782991, ""THF [Tetrahydrofuran]"": 0.002270139271612218, ""Water.2,2,2-Trifluoroethanol"": 0.0034084501657487944, ""Water.Acetonitrile"": 0.007514717716623323, ""tert-Butanol [2-Methylpropan-2-ol]"": 0.003681427281180016}"
20250812_180325,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.1,0.1,20,2,0.1,0.0073033806477674,"{""1,1,1,3,3,3-Hexafluoropropan-2-ol"": 0.0229679349238644, ""2,2,2-Trifluoroethanol"": 0.01546650440321583, ""2-Methyltetrahydrofuran [2-MeTHF]"": 0.0066676039653225765, ""Acetonitrile"": 0.009004785097545239, ""Acetonitrile.Acetic Acid"": 0.019760930299429182, ""Butanone [MEK]"": 0.001968662553685184, ""Cyclohexane"": 0.003566930828044165, ""DMA [N,N-Dimethylacetamide]"": 0.003725001300065966, ""Decanol"": 0.009723101543899632, ""Diethyl Ether [Ether]"": 0.012091020943771753, ""Dihydrolevoglucosenone (Cyrene)"": 0.013184011631984552, ""Dimethyl Carbonate"": 0.0048835709591597, ""Ethanol"": 0.0057298301732433814, ""Ethyl Acetate"": 0.002652025107953442, ""Ethyl Lactate"": 0.0026758263451052153, ""Ethylene Glycol [1,2-Ethanediol]"": 0.004359697800348169, ""IPA [Propan-2-ol]"": 0.01099185046104423, ""MTBE [tert-Butylmethylether]"": 0.002951752656890429, ""Methanol"": 0.004293743585810801, ""Methyl Propionate"": 0.0034676569719121614, ""THF [Tetrahydrofuran]"": 0.002150786478342122, ""Water.2,2,2-Trifluoroethanol"": 0.004766885555018629, ""Water.Acetonitrile"": 0.006838929169805277, ""tert-Butanol [2-Methylpropan-2-ol]"": 0.0013920927909571526}"
20250812_180620,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,16,0.1,0.1,20,2,0.2,0.0107237252330804,"{""1,1,1,3,3,3-Hexafluoropropan-2-ol"": 0.05456619100274248, ""2,2,2-Trifluoroethanol"": 0.034397636446549786, ""2-Methyltetrahydrofuran [2-MeTHF]"": 0.006725795586439088, ""Acetonitrile"": 0.011704544945022828, ""Acetonitrile.Acetic Acid"": 0.021732454751872174, ""Butanone [MEK]"": 0.0019641754055945335, ""Cyclohexane"": 0.00791112224703596, ""DMA [N,N-Dimethylacetamide]"": 0.006713227388465814, ""Decanol"": 0.016537358328738472, ""Diethyl Ether [Ether]"": 0.01289263698157619, ""Dihydrolevoglucosenone (Cyrene)"": 0.013775885553568422, ""Dimethyl Carbonate"": 0.0031864090301251115, ""Ethanol"": 0.007037253737454666, ""Ethyl Acetate"": 0.0021967747089552464, ""Ethyl Lactate"": 0.0023883983362088584, ""Ethylene Glycol [1,2-Ethanediol]"": 0.006027772965471549, ""IPA [Propan-2-ol]"": 0.010747715509874183, ""MTBE [tert-Butylmethylether]"": 0.0022529793898881396, ""Methanol"": 0.007196640297128673, ""Methyl Propionate"": 0.0035398798130110275, ""THF [Tetrahydrofuran]"": 0.004072149450879505, ""Water.2,2,2-Trifluoroethanol"": 0.004961850006716933, ""Water.Acetonitrile"": 0.010132367427338614, ""tert-Butanol [2-Methylpropan-2-ol]"": 0.004708186283273634}"
