timestamp,pretrained_model_path,spange_path,nn_size,dropout_fp,dropout_nn,epochs,hidden_factor,val_percent,avg_mse,mse_per_solvent
20250824_140838,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.1,30,4,0.2,0.007077643138936,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.0433731965693925), '2,2,2-Trifluoroethanol': np.float64(0.02020649531740618), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.0033803664264530128), 'Acetonitrile': np.float64(0.006435153204895722), 'Acetonitrile.Acetic Acid': np.float64(0.020751318359193575), 'Butanone [MEK]': np.float64(0.0029323025343878546), 'Cyclohexane': np.float64(0.006021667035270797), 'DMA [N,N-Dimethylacetamide]': np.float64(0.0020917061816336058), 'Decanol': np.float64(0.004384263604140248), 'Diethyl Ether [Ether]': np.float64(0.006153591359028249), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.005501721026150724), 'Dimethyl Carbonate': np.float64(0.0052023039756647306), 'Ethanol': np.float64(0.004631740140727942), 'Ethyl Acetate': np.float64(0.002238663438385437), 'Ethyl Lactate': np.float64(0.002992035245934981), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.0030144099909787643), 'IPA [Propan-2-ol]': np.float64(0.009556404521441462), 'MTBE [tert-Butylmethylether]': np.float64(0.002967176703091773), 'Methanol': np.float64(0.005059102909660101), 'Methyl Propionate': np.float64(0.0031773534042608617), 'THF [Tetrahydrofuran]': np.float64(0.0019120391151478343), 'Water.2,2,2-Trifluoroethanol': np.float64(0.0019695700668413193), 'Water.Acetonitrile': np.float64(0.004875928198723015), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.001034926005654257)}"""
20250824_140852,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.1,30,4,0.3,0.0065519265289523,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.026736000641776617), '2,2,2-Trifluoroethanol': np.float64(0.01878356591547436), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.004692729654596518), 'Acetonitrile': np.float64(0.006935873534421605), 'Acetonitrile.Acetic Acid': np.float64(0.021535107906172232), 'Butanone [MEK]': np.float64(0.0032997831463547184), 'Cyclohexane': np.float64(0.0028830883657437914), 'DMA [N,N-Dimethylacetamide]': np.float64(0.003315068019688688), 'Decanol': np.float64(0.008645025868746686), 'Diethyl Ether [Ether]': np.float64(0.002761638744510764), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.007637559458419043), 'Dimethyl Carbonate': np.float64(0.005021775564762676), 'Ethanol': np.float64(0.006310980788737981), 'Ethyl Acetate': np.float64(0.001183457449567991), 'Ethyl Lactate': np.float64(0.003216716045483544), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.0035201747472411934), 'IPA [Propan-2-ol]': np.float64(0.009511577105859004), 'MTBE [tert-Butylmethylether]': np.float64(0.001721580274042418), 'Methanol': np.float64(0.004524905247826194), 'Methyl Propionate': np.float64(0.004236133635682808), 'THF [Tetrahydrofuran]': np.float64(0.0014984440082357927), 'Water.2,2,2-Trifluoroethanol': np.float64(0.003059714264776934), 'Water.Acetonitrile': np.float64(0.003778850042857028), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.0024364862638784745)}"""
20250824_140929,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.1,30,3,0.3,0.0062159547134761,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.032063982025643124), '2,2,2-Trifluoroethanol': np.float64(0.02011965282853929), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.004090352282436632), 'Acetonitrile': np.float64(0.00641147821794444), 'Acetonitrile.Acetic Acid': np.float64(0.02057393772545282), 'Butanone [MEK]': np.float64(0.0027523275894378585), 'Cyclohexane': np.float64(0.005390196386867124), 'DMA [N,N-Dimethylacetamide]': np.float64(0.0020902277032914768), 'Decanol': np.float64(0.004514637140453417), 'Diethyl Ether [Ether]': np.float64(0.0025943625179281095), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.006979644436572), 'Dimethyl Carbonate': np.float64(0.0027358047718713356), 'Ethanol': np.float64(0.0039049728335445433), 'Ethyl Acetate': np.float64(0.002030917592624581), 'Ethyl Lactate': np.float64(0.003226471013192004), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.001907856417550512), 'IPA [Propan-2-ol]': np.float64(0.00897875772522525), 'MTBE [tert-Butylmethylether]': np.float64(0.004186297231445134), 'Methanol': np.float64(0.00439998948331991), 'Methyl Propionate': np.float64(0.0023381095036971657), 'THF [Tetrahydrofuran]': np.float64(0.0010859416600144528), 'Water.2,2,2-Trifluoroethanol': np.float64(0.002122426713470656), 'Water.Acetonitrile': np.float64(0.004277989408116083), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.0004065799147906252)}"""
20250824_140955,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.05,0.1,30,3,0.3,0.0063997098731775,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.03055869785130285), '2,2,2-Trifluoroethanol': np.float64(0.021075751984706938), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.0020912626624292516), 'Acetonitrile': np.float64(0.004391609714000374), 'Acetonitrile.Acetic Acid': np.float64(0.020125857369638088), 'Butanone [MEK]': np.float64(0.0023969379029098355), 'Cyclohexane': np.float64(0.0016766080244186115), 'DMA [N,N-Dimethylacetamide]': np.float64(0.0016039157874386874), 'Decanol': np.float64(0.003960536558440523), 'Diethyl Ether [Ether]': np.float64(0.007287416766916343), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.008519756750220868), 'Dimethyl Carbonate': np.float64(0.006808085896738552), 'Ethanol': np.float64(0.004978852285412863), 'Ethyl Acetate': np.float64(0.0009412412468730809), 'Ethyl Lactate': np.float64(0.00324770905642162), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.0030685635168863842), 'IPA [Propan-2-ol]': np.float64(0.009683069480031975), 'MTBE [tert-Butylmethylether]': np.float64(0.0014830103919684454), 'Methanol': np.float64(0.0057031320315521624), 'Methyl Propionate': np.float64(0.004131448338994093), 'THF [Tetrahydrofuran]': np.float64(0.0030488051458152435), 'Water.2,2,2-Trifluoroethanol': np.float64(0.0011755206769357173), 'Water.Acetonitrile': np.float64(0.004768370006573981), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.000866877509633573)}"""
20250824_141015,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,128,0.05,0.05,30,5,0.3,0.0067539091936182,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.062119195673479385), '2,2,2-Trifluoroethanol': np.float64(0.01837840883589922), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.0010872102091610738), 'Acetonitrile': np.float64(0.0030552683833835917), 'Acetonitrile.Acetic Acid': np.float64(0.021159773660126113), 'Butanone [MEK]': np.float64(0.0023711565275648257), 'Cyclohexane': np.float64(0.0072324344607190595), 'DMA [N,N-Dimethylacetamide]': np.float64(0.0009449041488677327), 'Decanol': np.float64(0.0023864360990421807), 'Diethyl Ether [Ether]': np.float64(0.002215289465909165), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.0034410156767667273), 'Dimethyl Carbonate': np.float64(0.0026035719154186773), 'Ethanol': np.float64(0.0035012315044593845), 'Ethyl Acetate': np.float64(0.0009615469750954903), 'Ethyl Lactate': np.float64(0.0024171774038693147), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.0005012617820431191), 'IPA [Propan-2-ol]': np.float64(0.009730524840261039), 'MTBE [tert-Butylmethylether]': np.float64(0.0009488435672445222), 'Methanol': np.float64(0.004194617388784772), 'Methyl Propionate': np.float64(0.006421525745049775), 'THF [Tetrahydrofuran]': np.float64(0.002218597065059952), 'Water.2,2,2-Trifluoroethanol': np.float64(0.0009606802792176103), 'Water.Acetonitrile': np.float64(0.002850891016955509), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.0003922580224609122)}"""
20250824_141119,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,128,0.05,0.05,30,4,0.3,0.0059385904750281,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.05066625889365761), '2,2,2-Trifluoroethanol': np.float64(0.012268970054214614), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.0010097082188831367), 'Acetonitrile': np.float64(0.005092364939466259), 'Acetonitrile.Acetic Acid': np.float64(0.01752961213140344), 'Butanone [MEK]': np.float64(0.0034006209251255387), 'Cyclohexane': np.float64(0.005435497363961445), 'DMA [N,N-Dimethylacetamide]': np.float64(0.0013986741060100494), 'Decanol': np.float64(0.003282435186391433), 'Diethyl Ether [Ether]': np.float64(0.0031547206371473637), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.0014384902380464046), 'Dimethyl Carbonate': np.float64(0.004617336991207303), 'Ethanol': np.float64(0.0034494262676800927), 'Ethyl Acetate': np.float64(0.001620619395552187), 'Ethyl Lactate': np.float64(0.00240863483678138), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.0017520791899567109), 'IPA [Propan-2-ol]': np.float64(0.010302845297488502), 'MTBE [tert-Butylmethylether]': np.float64(0.0002892037262726334), 'Methanol': np.float64(0.0034433194907923254), 'Methyl Propionate': np.float64(0.004412070105252248), 'THF [Tetrahydrofuran]': np.float64(0.002903925588127698), 'Water.2,2,2-Trifluoroethanol': np.float64(0.0009751693270649257), 'Water.Acetonitrile': np.float64(0.0012997052382292883), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.00037448325196238363)}"""
20250824_141349,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,128,0.05,0.1,30,3,0.3,0.0070372995726221,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.051227977223314326), '2,2,2-Trifluoroethanol': np.float64(0.020443278743375346), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.0026267075577839846), 'Acetonitrile': np.float64(0.0072058798802950635), 'Acetonitrile.Acetic Acid': np.float64(0.019228850522778902), 'Butanone [MEK]': np.float64(0.003297693162482358), 'Cyclohexane': np.float64(0.0043706937696935825), 'DMA [N,N-Dimethylacetamide]': np.float64(0.0021933275513007847), 'Decanol': np.float64(0.0027107099328355483), 'Diethyl Ether [Ether]': np.float64(0.0044865907025702), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.006441188300689076), 'Dimethyl Carbonate': np.float64(0.005034598260166475), 'Ethanol': np.float64(0.0028488483970745726), 'Ethyl Acetate': np.float64(0.001981210012968344), 'Ethyl Lactate': np.float64(0.0031712490483379666), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.0010424930862847467), 'IPA [Propan-2-ol]': np.float64(0.010262751992954906), 'MTBE [tert-Butylmethylether]': np.float64(0.0015902516118844372), 'Methanol': np.float64(0.0064768109533155215), 'Methyl Propionate': np.float64(0.005423563933303443), 'THF [Tetrahydrofuran]': np.float64(0.0020466495731808485), 'Water.2,2,2-Trifluoroethanol': np.float64(0.0013139646669377955), 'Water.Acetonitrile': np.float64(0.002857506749463062), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.0006123941099396391)}"""
20250824_141355,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,128,0.05,0.05,30,5,0.2,0.0062911482195805,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.05314116667142565), '2,2,2-Trifluoroethanol': np.float64(0.01613991548765205), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.00115431203852641), 'Acetonitrile': np.float64(0.004319336579750458), 'Acetonitrile.Acetic Acid': np.float64(0.025337360956204553), 'Butanone [MEK]': np.float64(0.0029357257062515183), 'Cyclohexane': np.float64(0.005305036981273943), 'DMA [N,N-Dimethylacetamide]': np.float64(0.0009765956463050828), 'Decanol': np.float64(0.002820250497486397), 'Diethyl Ether [Ether]': np.float64(0.002834842174558741), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.0017105988004697758), 'Dimethyl Carbonate': np.float64(0.0035275970027172227), 'Ethanol': np.float64(0.0028527368131132454), 'Ethyl Acetate': np.float64(0.001069133957916372), 'Ethyl Lactate': np.float64(0.0027432430280323068), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.0003809822747765211), 'IPA [Propan-2-ol]': np.float64(0.010353965872254218), 'MTBE [tert-Butylmethylether]': np.float64(0.0009648539301959712), 'Methanol': np.float64(0.0027178456213747537), 'Methyl Propionate': np.float64(0.003422373339510298), 'THF [Tetrahydrofuran]': np.float64(0.003907058461222606), 'Water.2,2,2-Trifluoroethanol': np.float64(0.0005360356181265787), 'Water.Acetonitrile': np.float64(0.001307145752398705), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.0005294440583895817)}"""
20250824_141416,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.1,30,3,0.2,0.006130625772992,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.02270492889905431), '2,2,2-Trifluoroethanol': np.float64(0.021863402254559277), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.003950119349386481), 'Acetonitrile': np.float64(0.005225704201763447), 'Acetonitrile.Acetic Acid': np.float64(0.01977674334226269), 'Butanone [MEK]': np.float64(0.0028504334452346377), 'Cyclohexane': np.float64(0.005558358910024162), 'DMA [N,N-Dimethylacetamide]': np.float64(0.0035154327609292833), 'Decanol': np.float64(0.005652289161541268), 'Diethyl Ether [Ether]': np.float64(0.0038592743843244154), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.007122471526849595), 'Dimethyl Carbonate': np.float64(0.00377002037546381), 'Ethanol': np.float64(0.00406856870996668), 'Ethyl Acetate': np.float64(0.0006014246870334997), 'Ethyl Lactate': np.float64(0.0024330082020320764), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.002564974564432016), 'IPA [Propan-2-ol]': np.float64(0.010398455448077723), 'MTBE [tert-Butylmethylether]': np.float64(0.0016814260642016373), 'Methanol': np.float64(0.0030463363480754), 'Methyl Propionate': np.float64(0.004065753918916145), 'THF [Tetrahydrofuran]': np.float64(0.0016817130099418208), 'Water.2,2,2-Trifluoroethanol': np.float64(0.004924009677770033), 'Water.Acetonitrile': np.float64(0.0052925066240121724), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.0005276626859558397)}"""
20250824_141556,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.1,30,3,0.1,0.0066937326243942,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.045816448891026276), '2,2,2-Trifluoroethanol': np.float64(0.019423611624527094), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.002815796494851752), 'Acetonitrile': np.float64(0.00556280044066552), 'Acetonitrile.Acetic Acid': np.float64(0.021328115986263288), 'Butanone [MEK]': np.float64(0.0051987633277011894), 'Cyclohexane': np.float64(0.003290796979971054), 'DMA [N,N-Dimethylacetamide]': np.float64(0.002347958557386949), 'Decanol': np.float64(0.004751303663359513), 'Diethyl Ether [Ether]': np.float64(0.0031074805912224782), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.003454450688728444), 'Dimethyl Carbonate': np.float64(0.004099038614364527), 'Ethanol': np.float64(0.00391402930457953), 'Ethyl Acetate': np.float64(0.00125259207840069), 'Ethyl Lactate': np.float64(0.004543220659999473), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.0010555111938691977), 'IPA [Propan-2-ol]': np.float64(0.010381286056424499), 'MTBE [tert-Butylmethylether]': np.float64(0.0024990460989854587), 'Methanol': np.float64(0.0037928449209784485), 'Methyl Propionate': np.float64(0.004843110178167142), 'THF [Tetrahydrofuran]': np.float64(0.0006659701386343182), 'Water.2,2,2-Trifluoroethanol': np.float64(0.0016801278924965355), 'Water.Acetonitrile': np.float64(0.004159070485896684), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.000666208116962165)}"""
