timestamp,pretrained_model_path,spange_path,nn_size,dropout_fp,dropout_nn,epochs,hidden_factor,val_percent,avg_mse,mse_per_solvent
20250824_160331,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.1,0.3,40,3,0.1,0.0081225779073566,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.048700050791544186), '2,2,2-Trifluoroethanol': np.float64(0.02193909274464813), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.006269926411172387), 'Acetonitrile': np.float64(0.007920084863477067), 'Acetonitrile.Acetic Acid': np.float64(0.01675390028101355), 'Butanone [MEK]': np.float64(0.002275955366152027), 'Cyclohexane': np.float64(0.004468020706581936), 'DMA [N,N-Dimethylacetamide]': np.float64(0.003648759285308069), 'Decanol': np.float64(0.009696994155414395), 'Diethyl Ether [Ether]': np.float64(0.008165358055900553), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.005358540095375659), 'Dimethyl Carbonate': np.float64(0.003911500037135274), 'Ethanol': np.float64(0.005167639175921237), 'Ethyl Acetate': np.float64(0.0023096163495851044), 'Ethyl Lactate': np.float64(0.0043955977604773905), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.0050295442253878485), 'IPA [Propan-2-ol]': np.float64(0.009493370760474733), 'MTBE [tert-Butylmethylether]': np.float64(0.0049723846238412875), 'Methanol': np.float64(0.006306774182199932), 'Methyl Propionate': np.float64(0.0023825342901864235), 'THF [Tetrahydrofuran]': np.float64(0.0011796322337875255), 'Water.2,2,2-Trifluoroethanol': np.float64(0.004825071801994397), 'Water.Acetonitrile': np.float64(0.008509702610520432), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.0012618189684609647)}"""
20250824_160439,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,128,0.3,0.05,30,3,0.2,0.0076660127714635,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.033070527905302384), '2,2,2-Trifluoroethanol': np.float64(0.0314727791124382), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.0037432367268002745), 'Acetonitrile': np.float64(0.0043573116373607605), 'Acetonitrile.Acetic Acid': np.float64(0.02260134728980495), 'Butanone [MEK]': np.float64(0.006634679944606638), 'Cyclohexane': np.float64(0.006964148810949883), 'DMA [N,N-Dimethylacetamide]': np.float64(0.001076605144361678), 'Decanol': np.float64(0.008350001160198128), 'Diethyl Ether [Ether]': np.float64(0.007205090928644978), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.002912799593965637), 'Dimethyl Carbonate': np.float64(0.004919094094872677), 'Ethanol': np.float64(0.0039827682955935985), 'Ethyl Acetate': np.float64(0.002038594055423895), 'Ethyl Lactate': np.float64(0.003345584042245995), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.0017925934006844915), 'IPA [Propan-2-ol]': np.float64(0.009501036195378404), 'MTBE [tert-Butylmethylether]': np.float64(0.004021746156653833), 'Methanol': np.float64(0.014298491837129543), 'Methyl Propionate': np.float64(0.001932521475807452), 'THF [Tetrahydrofuran]': np.float64(0.003284381928447648), 'Water.2,2,2-Trifluoroethanol': np.float64(0.0014091219134774887), 'Water.Acetonitrile': np.float64(0.004017297467126362), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.001052547397850164)}"""
20250824_160504,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,128,0.1,0.3,30,5,0.3,0.0086555373869736,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.049493265627007926), '2,2,2-Trifluoroethanol': np.float64(0.030129230008181955), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.007715105207017651), 'Acetonitrile': np.float64(0.004728687506783907), 'Acetonitrile.Acetic Acid': np.float64(0.019248673348966506), 'Butanone [MEK]': np.float64(0.0020423742325816727), 'Cyclohexane': np.float64(0.004256509746965539), 'DMA [N,N-Dimethylacetamide]': np.float64(0.004200338151704176), 'Decanol': np.float64(0.006908372832925216), 'Diethyl Ether [Ether]': np.float64(0.006718313464131577), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.013674174718028075), 'Dimethyl Carbonate': np.float64(0.004509238069513275), 'Ethanol': np.float64(0.006690367265540554), 'Ethyl Acetate': np.float64(0.003095290117282984), 'Ethyl Lactate': np.float64(0.004172142734320717), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.002313337766992535), 'IPA [Propan-2-ol]': np.float64(0.008825508210914794), 'MTBE [tert-Butylmethylether]': np.float64(0.004388368967299889), 'Methanol': np.float64(0.005910841961587519), 'Methyl Propionate': np.float64(0.0036860289943176825), 'THF [Tetrahydrofuran]': np.float64(0.0027158505458835915), 'Water.2,2,2-Trifluoroethanol': np.float64(0.0032577041227903544), 'Water.Acetonitrile': np.float64(0.007375937921051996), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.001677235765578535)}"""
20250824_160508,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.1,0.3,40,5,0.1,0.0093356117692577,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.05658228569822765), '2,2,2-Trifluoroethanol': np.float64(0.018537792271567845), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.005629868063253256), 'Acetonitrile': np.float64(0.007842638974442472), 'Acetonitrile.Acetic Acid': np.float64(0.019511285183447673), 'Butanone [MEK]': np.float64(0.0028410747314865756), 'Cyclohexane': np.float64(0.0060909388168684355), 'DMA [N,N-Dimethylacetamide]': np.float64(0.0034730139454297103), 'Decanol': np.float64(0.007906662469411713), 'Diethyl Ether [Ether]': np.float64(0.01710243622357553), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.008039365078315054), 'Dimethyl Carbonate': np.float64(0.008294252820007545), 'Ethanol': np.float64(0.00658834090616502), 'Ethyl Acetate': np.float64(0.003419224774375844), 'Ethyl Lactate': np.float64(0.007090514664217181), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.0021305736428750667), 'IPA [Propan-2-ol]': np.float64(0.010297205381466544), 'MTBE [tert-Butylmethylether]': np.float64(0.009303155599514681), 'Methanol': np.float64(0.009049377137160633), 'Methyl Propionate': np.float64(0.0020559317813773625), 'THF [Tetrahydrofuran]': np.float64(0.0029959209032116275), 'Water.2,2,2-Trifluoroethanol': np.float64(0.0018308903443691382), 'Water.Acetonitrile': np.float64(0.006139057209710327), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.001302875841708015)}"""
20250824_160509,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,128,0.1,0.1,40,5,0.3,0.0067531545341265,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.057478946096584875), '2,2,2-Trifluoroethanol': np.float64(0.019874123303952496), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.001804589716099781), 'Acetonitrile': np.float64(0.0036431174053816674), 'Acetonitrile.Acetic Acid': np.float64(0.0202156011699111), 'Butanone [MEK]': np.float64(0.003745855575446564), 'Cyclohexane': np.float64(0.006375865894074423), 'DMA [N,N-Dimethylacetamide]': np.float64(0.0016033935558889866), 'Decanol': np.float64(0.005497835931048508), 'Diethyl Ether [Ether]': np.float64(0.00496802341397718), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.002791535442692934), 'Dimethyl Carbonate': np.float64(0.0037141627620311305), 'Ethanol': np.float64(0.0024071039329726304), 'Ethyl Acetate': np.float64(0.0008808176932340907), 'Ethyl Lactate': np.float64(0.0036093618401428587), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.0008019717334049649), 'IPA [Propan-2-ol]': np.float64(0.00949116798288706), 'MTBE [tert-Butylmethylether]': np.float64(0.002994560199546877), 'Methanol': np.float64(0.003356646212374565), 'Methyl Propionate': np.float64(0.002340728336225133), 'THF [Tetrahydrofuran]': np.float64(0.001574234257529267), 'Water.2,2,2-Trifluoroethanol': np.float64(0.0004415242592081514), 'Water.Acetonitrile': np.float64(0.0018938267630755922), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.0005707153413463165)}"""
20250824_160513,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,128,0.1,0.05,50,3,0.1,0.0050825405649505,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.047439819116900955), '2,2,2-Trifluoroethanol': np.float64(0.021329308569042294), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.0010817708656934253), 'Acetonitrile': np.float64(0.0037919429787951595), 'Acetonitrile.Acetic Acid': np.float64(0.013564350947779281), 'Butanone [MEK]': np.float64(0.001847806935984243), 'Cyclohexane': np.float64(0.0013018177471331392), 'DMA [N,N-Dimethylacetamide]': np.float64(0.0007777631709813631), 'Decanol': np.float64(0.0021059622801188884), 'Diethyl Ether [Ether]': np.float64(0.001331510109331334), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.0007264638492981444), 'Dimethyl Carbonate': np.float64(0.003029277859574999), 'Ethanol': np.float64(0.00225011813083474), 'Ethyl Acetate': np.float64(0.00037538503047704406), 'Ethyl Lactate': np.float64(0.0017337692692861876), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.0010132532400338402), 'IPA [Propan-2-ol]': np.float64(0.007835249676372448), 'MTBE [tert-Butylmethylether]': np.float64(0.0004384302276608854), 'Methanol': np.float64(0.0012691185793992548), 'Methyl Propionate': np.float64(0.005244759450561288), 'THF [Tetrahydrofuran]': np.float64(0.0007438764226381384), 'Water.2,2,2-Trifluoroethanol': np.float64(0.00036186139025686523), 'Water.Acetonitrile': np.float64(0.001793133671265599), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.0005942240393936231)}"""
20250824_160515,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.3,0.05,30,4,0.3,0.0089686142970792,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.03463379989811385), '2,2,2-Trifluoroethanol': np.float64(0.02281410444812027), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.00893874238403207), 'Acetonitrile': np.float64(0.008340184767625642), 'Acetonitrile.Acetic Acid': np.float64(0.02342458185663729), 'Butanone [MEK]': np.float64(0.008251323478027392), 'Cyclohexane': np.float64(0.005979126503221586), 'DMA [N,N-Dimethylacetamide]': np.float64(0.001330491100129402), 'Decanol': np.float64(0.0140795832546989), 'Diethyl Ether [Ether]': np.float64(0.014701039314406278), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.008197663203261788), 'Dimethyl Carbonate': np.float64(0.0023090396677306105), 'Ethanol': np.float64(0.004141358709364541), 'Ethyl Acetate': np.float64(0.003290162243647446), 'Ethyl Lactate': np.float64(0.004990909485901767), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.006750030184319492), 'IPA [Propan-2-ol]': np.float64(0.010032635646929374), 'MTBE [tert-Butylmethylether]': np.float64(0.0020360260747357044), 'Methanol': np.float64(0.016538263253293665), 'Methyl Propionate': np.float64(0.0033475943054865668), 'THF [Tetrahydrofuran]': np.float64(0.001660706962211434), 'Water.2,2,2-Trifluoroethanol': np.float64(0.001973093905231581), 'Water.Acetonitrile': np.float64(0.006940288588931584), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.0005459938938426356)}"""
20250824_160527,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.05,0.05,50,3,0.2,0.0052163342914944,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.04487151069831427), '2,2,2-Trifluoroethanol': np.float64(0.017802647770720458), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.0007117662667157545), 'Acetonitrile': np.float64(0.003369476837444209), 'Acetonitrile.Acetic Acid': np.float64(0.013516201847488514), 'Butanone [MEK]': np.float64(0.002147358565864381), 'Cyclohexane': np.float64(0.0022344077266931825), 'DMA [N,N-Dimethylacetamide]': np.float64(0.0008666363480459403), 'Decanol': np.float64(0.003916711899064671), 'Diethyl Ether [Ether]': np.float64(0.001271496747141722), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.0022443694433380017), 'Dimethyl Carbonate': np.float64(0.004073399055743706), 'Ethanol': np.float64(0.002048410992798846), 'Ethyl Acetate': np.float64(0.0007003963224260148), 'Ethyl Lactate': np.float64(0.0024670628627512293), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.00030566296029268305), 'IPA [Propan-2-ol]': np.float64(0.0108242866902551), 'MTBE [tert-Butylmethylether]': np.float64(0.001276127436467477), 'Methanol': np.float64(0.001354709218173151), 'Methyl Propionate': np.float64(0.004741697443657437), 'THF [Tetrahydrofuran]': np.float64(0.000472993874017327), 'Water.2,2,2-Trifluoroethanol': np.float64(0.0009047956113568285), 'Water.Acetonitrile': np.float64(0.0024701763362985473), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.0005997200407976325)}"""
20250824_160544,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.1,0.3,40,5,0.1,0.0074023576068025,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.024766895798319814), '2,2,2-Trifluoroethanol': np.float64(0.013570194612307424), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.005875771742840326), 'Acetonitrile': np.float64(0.010587975856689105), 'Acetonitrile.Acetic Acid': np.float64(0.018415022535886373), 'Butanone [MEK]': np.float64(0.002347133565660638), 'Cyclohexane': np.float64(0.0025925498716550285), 'DMA [N,N-Dimethylacetamide]': np.float64(0.004232280148406728), 'Decanol': np.float64(0.012780747567490237), 'Diethyl Ether [Ether]': np.float64(0.005102750880540496), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.013025464966463136), 'Dimethyl Carbonate': np.float64(0.005187573547004998), 'Ethanol': np.float64(0.005371294955661615), 'Ethyl Acetate': np.float64(0.0020284894741475355), 'Ethyl Lactate': np.float64(0.004866796112297146), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.0029850357849440395), 'IPA [Propan-2-ol]': np.float64(0.012633723020301432), 'MTBE [tert-Butylmethylether]': np.float64(0.004827497497688664), 'Methanol': np.float64(0.0064127075675034775), 'Methyl Propionate': np.float64(0.0013534181291880566), 'THF [Tetrahydrofuran]': np.float64(0.0017351620580522708), 'Water.2,2,2-Trifluoroethanol': np.float64(0.004076771341367032), 'Water.Acetonitrile': np.float64(0.008728057248834872), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.0041532682800114904)}"""
20250824_160546,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.3,0.05,30,5,0.1,0.0094693147940228,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': np.float64(0.024214367198229378), '2,2,2-Trifluoroethanol': np.float64(0.027460148959816244), '2-Methyltetrahydrofuran [2-MeTHF]': np.float64(0.010824794836064803), 'Acetonitrile': np.float64(0.009787529350432119), 'Acetonitrile.Acetic Acid': np.float64(0.021804764837526854), 'Butanone [MEK]': np.float64(0.005318250507206212), 'Cyclohexane': np.float64(0.009799240373010651), 'DMA [N,N-Dimethylacetamide]': np.float64(0.0024077984024640673), 'Decanol': np.float64(0.011434275268510067), 'Diethyl Ether [Ether]': np.float64(0.007876417850509241), 'Dihydrolevoglucosenone (Cyrene)': np.float64(0.015126168285178078), 'Dimethyl Carbonate': np.float64(0.0031390864637301425), 'Ethanol': np.float64(0.004827982283960383), 'Ethyl Acetate': np.float64(0.002230739385618564), 'Ethyl Lactate': np.float64(0.006288569065408483), 'Ethylene Glycol [1,2-Ethanediol]': np.float64(0.0109463412170879), 'IPA [Propan-2-ol]': np.float64(0.01040212731813378), 'MTBE [tert-Butylmethylether]': np.float64(0.002900215848188452), 'Methanol': np.float64(0.02291093114341012), 'Methyl Propionate': np.float64(0.0022125578683072577), 'THF [Tetrahydrofuran]': np.float64(0.0024430640676470186), 'Water.2,2,2-Trifluoroethanol': np.float64(0.0027670190819928642), 'Water.Acetonitrile': np.float64(0.009451222840621267), 'tert-Butanol [2-Methylpropan-2-ol]': np.float64(0.0006899426034944001)}"""
